nome_coluna,descricao
fonte,fonte
fonte,fontes
natureza,natureza
natureza,naturezas
unidade_gestora,unidade gestora
unidade_gestora,UG
unidade_gestora,unidades gestoras
unidade_orcamentaria,unidade orçamentária
unidade_orcamentaria,UO
unidade_orcamentaria,unidade orçamentaria
unidade_orcamentaria,unidades orçamentarias
programa,programa
programa,programas
funcao,função
funcao,funções
sub_funcao, sub-função
sub_funcao, sub função
sub_funcao, sub-funçao
sub_funcao, sub funçao
sub_funcao, sub funções
acao,ação
acao,ações
