codigo,descricao
0,SEM CONTRATO
20000018,"Locação de imóvel localizado na Avenida Piauí, nº 673, bairro Pacoval para funcionamento do Centro de Saúde do CBMAP."
20000021,CONTRATAÇÃO DE SERVIÇOS ON LINE
20000027,"LOCAÇÃO DE 1 (UM) IMÓVEL SITUADO NA AVENIDA PRESIDENTE VARGAS, Nº. 1748-B, C e D, BAIRRO CENTRAL PARA INSTALAÇÃO DO DIRETORIA DE SEGURANÇA CONTRA INCÊNDIO E PÂNICO-CBMAP."
20000028,Prestação de Serviço de Limpeza e Conservação
20000029,"LOCAÇÃO DE 01 (UM) IMÓVEL SITUADO NA AVENIDA 08 DE SETEMBRO, Nº 503, BAIRRO CIDADE LIVRE - VITÓRIA DO JARI, COM O OBJETIVO DE INSTALAR O 8º GRUPAMENTO DO CORPO DE BOMBEIROS MILITAR DO ESTADO DO AMAPÁ- 8º GBM/CBMAP."
20000040,"LOCAÇÃO DE VEÍCULOS AUTOMOTORES, CATEGORIAS DIVERSAS, CARACTERIZADOS E DESCARACTERIZADOS (SEM MOTORISTA E SEM COMBUSTÍVEL)"
20000043,PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA PARA A FROTA OFICIAL DE MOTOCICLETAS DA POLÍCIA MILITAR DO ESTADO DO AMAPÁ- PMAP
20000045,"PRESTAÇÃO DE SERVIÇOS DE LIMPEZA, CONSERVAÇÃO E JARDINAGEM NAS DEPENDÊNCIAS DA POLÍCIA MILITAR DO AMAPÁ"
20000080,"CONCLUSAO DA CONSTRUÇÃO DE 160 UNIDADES HABITACIONAIS COM SANEAMENTO INTEGRADO DO PAC CONGOS, BAIRRO CONGOS, MUNICIPIO DE MACAPÁ"
20000107,Contratação futura de empresa especializado para prestação de serviços técnicos de implantação se software de gestão publica 
20000113,LOCAÇÃO DE 01 (UM) IMÓVEL
20000123,"CONCLUSAO DAS OBRAS DE 272 UNIDADES HABITACIONAIS COM SANEAMENTO INTEGRADO DO PAC ATURIA E 240 UNIDADES HAB. NO FNHIS/ATUARIA-,MACAPA"
20000127,CONTRATAÇÃO DE EMPRESA PARA EFETUAR SERVIÇOS DE MANUT. PREDIAL PREVENTIVA E CORRETIVA
20000132,Federalização da CEA
20000133,Renegociação de dívidas - BANAP 
20000134,Banco Nacional de Desenvolvimento Econômico e Social - PROINVEST
20000136,Banco Nacional de Desenvolvimento Econômico e Social - PDRI
20000138,Parcelamento previdenciário - MP 778/17 PREM
20000140,Parcelamento previdenciário - SEGURADO
20000151,CONTRATAÇÃO DE REDE DE IP MULTI-SERVIÇOS DE INTERNET.
20000228,manutenção e conservação de veículos automotores
20000242,"SERVIÇOS DE MANUTENÇÃO PREDIALPREVENTIVA E CORRETIVA, COM FORNECIMENTO DE MATERIAL E MÃO DE OBRA."
21000009,"Constitui objeto do presente Pregão a CONTRATAÇÃO DE PESSOA JURÍDICA para pro-vimento de Serviço de Internet para o Tribunal de Justiça do Estado do Amapá, conforme quantitativo e especificações constantes no anexo I deste edital."
21000020,"O presente instrumento contratual tem por objeto a locação de 2 (dois) pavimentos do ?EDIFICIO FECOMÉRCIO?, localizado à Av. Procópio Rola (cruzamento com a Rua Eliezer Levy),nº 261, Centro, Macapá/AP,CEP: 68.900-081, com finalidade de abrigar a Escola Judicial do Amapá - EJAP, o Departamento Administrativo do Tribunal de Justiça do Estado do Amapá, e os Juizados Virtuais Especiais do Tribunal de Justiça do Estado do Amapá. "
21000026,"O presente instrumento tem por objeto a contratação de produtos e serviços por meio de Pacote de Serviços dos CORREIOS, na categoria Platinum 1, mediante adesão ao Termo de Condições Comerciais e Anexos;"
21000039,"2.1. O presente Contrato tem por objeto a contratação de empresa especializada no fornecimento de rede IP MULTISERVIÇOS, a fim de atender as necessidades deste Tribunal de Justiça do Estado do Amapá. 2.2. O regime de execução do objeto deste Contrato será de empreitada por preço unitário."
21000070,EMPRESA ESPECIALIZADA EM SERVIÇOS DE VIGILANCIA PATRIMONIAL
21000080,"Constitui objeto do presente instrumento a Contratação de serviços de manutenções preventivas e corretivas, bem como instalação e desinstalação de equipamentos de refrigeração, incluindo o fornecimento de peças e acessórios."
21000082,"SERVIÇOS DE FOTOCÓPIAS, IMPRESSÃO E ENCADERNAÇÃO."
21000084,Serviço Contínuo de Manutenção em Aeronave - Asa Fixa
21000085,SERVIÇO DE LOCAÇÃO IMÓVEL
21000095,COMPUSERVICE TDA
21000097,Serviço de formação de condutores com adição de categorias de CNH para militares condutores de veículos de emergência.
21000098,MARCO ZERO SERVIÇOS LTDA
21000101,IUANNE MARY CASTILLO
21000105,SEARCH INFORMATICA LTDA
21000108,ICE CARTÕES ESPECIAIS LTDA
21000123,"COLETA, TRANSPORTE, TRATAMENTO E DISPOSIÇÃO DE RESIDUOS SOLIDOS"
21000131,"O objeto do presente instrumento é a Contratação de empresa especializada na prestação de serviços continuados, sem locação de mão de obra, de monitoramento e rastreamento veicular via satélite por GPS/GSM/GPRS, compreendendo a instalação de módulos rastreadores em comodato, disponibilização e licença de software de gerenciamento com acesso via Web e os respectivos serviços de instalação, configuração, capacitação, suporte técnico e garantia de funcionamento para gestão de frota do Tribunal de Justiça do Amapá, que serão prestados nas condições estabelecidas no Termo de Referência, anexo do Edital."
21000133,CORREIOS E TELEGRAFOS - ECT.
21000137,prestação de serviços de Outsourcing de Impressão 
21000170,Locação de 01 (um) imóvel para fins de instalação do anexo da Defensoria Pública do Estado do Amapá.
21000172,PRESTAÇAO DE SERVIÇOS TÉCNICOS E ELABORAÇÃO DE PROJETOS
21000181,PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE MANUTENÇÃO E CONSERVAÇÃO DE VEÍCULOS AUTOMOTORES.
21000206,Parcelamento Previdenciário - Segurado GEA
21000207,Parcelamento Previdenciário - Segurado SESA
21000208,Parcelamento Previdenciário - Segurado SEED
21000225,"O presente Contrato tem por objeto a contratação de empresa de Tecnologia da Informação para prestação de serviços continuados de tecnologia da informação voltada ao desenvolvimento e manutenção evolutiva e adaptativa do sistema de gestão judicial deste Tribunal, em regime de Fábrica de Software de forma remota e presencial, de acordo com os padrões de desempenho e qualidade correspondentes à especialização exigida para o atendimento das demandas relacionadas à evolução da implantação do Processo Judicial Eletrônico - PJe no Tribunal de Justiça do Estado do Amapá."
21000236,Contratação de empresa especializada na prestação de serviços em hospedagem de site e serviços de e-mails. 
21000238,"CONTRATAÇÃO DE EMPRESA DE INSTALAÇÃO ,DESINSTALAÇÃO , MANUTENÇÃO PREVENTIVA E CORRETIVA DE CONDICIONADORES DE AR E EQUIPAMENTOS DE REFRIGERAÇÃO"
21000248,contratação de empresa para prestação de serviços continuados de exames laboratoriais de rotina e especializados (microbiológicos).
21000249,contratação de empresa para prestação de serviços continuados de exames laboratoriais de rotina e especializados.
21000280,TICK SOLUÇÕES HDFGT S.A
21000290,FORNECIMENTO DE COMBUSTÍVEL AERONÁUTICO
21000291,Parcelamento Não Previdenciário - PGFN - 5107028
21000293,Parcelamento previdenciário Nº 640300294 - PATRONAL
21000294,Parcelamento previdenciário Nº 640300839 - SEGURADO
21000297,CONTRATAÇÃO DE INSTITUIÇÃO PARA OPERAR SERVIÇOS E GERENCIAMENTO DE MOVIMENTAÇÃO FINANCEIRA 
21000300,"SERVIÇOS DE LIMPEZA E CONSERVAÇÃO, COM O FORNECIMENTO DE INSUMOS E MATERIAIS "
21000304,"PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO, DESINSTALAÇÃO, MANUTENÇÃO PREVENTIVA E CORRETIVA DE CONDICIONADORES DE AR E EQUIPAMENTOS DE REFRIGERAÇÃO, COM REPOSIÇÃO DE PEÇAS, COMPONENTES E ACESSÓRIOS"
21000316,Contratação de empresa especializada na prestação de serviços de Outsourcing de impressão
21000343,"Contratação de empresa para a prestação de Serviços de Apoio Técnico Especializado (Eletricista I, Eletricista II, Eletricista III, Auxiliar de Almoxarife I, Auxiliar de Manutenção Predial, Técnico em Telecomunicações e Piloto Fluvial), que serão prestados de forma continuada, mediante locação de mão-de-obra e executados no regime de empreitada por preço global, por lote."
21000351,"SERVIÇOS DE URBANIZAÇÃO DO 4º BATALHÃO DA POLICIA MILITAR, NO MUNICÍPIO DE STN/AP"
21000374,MANUTENÇÃO DE CONDICIONADORES DE AR
21000380,LOCAÇÃO DE IMÓVEL
21000381,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS DE LIMPEZA E CONSERVAÇÃO
21000390,PRESTAÇÃO DE SERVIÇO DE LOCAÇÃO. DIGIMAC INFORMATICA LTDA - EPP
21000394,"CONTRATAÇÃO DE SERVIÇO DE MANUTENÇÃO NA AERONAVE HELICÓPTERO ESQUILO AS350-B2, PREFIXO PR-GAP, PERTENCENTE AO GTA/SEJUSP/AP, INCLUINDO: APOIO TÉCNICOOPERACIONAL, CONTROLE TÉCNICO, SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA,PROGRAMADOS E NÃO PROGRAMADOS."
21000399,Aluguel de prédio no municípi de Laranjal do Jari
21000400,CONTRATAÇÃO DE EMPRESA PARA CESSÃO DE EQUIPAMENTOS EM REGIME DE COMODATO COM FORNECIMENTO E AQUISIÇÃO DE INSUMOS LABORATORIAIS PARA ATENDER AS NECESSIDADES DE REALIZAÇÃO DE TESTES IMUNO-HEMATOLÓGICOS
22000003,"PRESTAÇÃO DE SERVIÇOS DE LOCAÇÃO DE VEÍCULOS (PICK-UP), SEM MOTORISTA, SEM COBUSTÍVEL, QUILOMETRAGEM LIVRE, COM SEGURO TOTAL, MANUTENÇÃO PREVENTIVA E CORRETIVA."
22000004,"PRESTAÇÃO DE SERVIÇOS LOCAÇÃO DE VEÍCULOS AUTOMOTORES (TIPO SEDAN), SEM MOTORISTA, SEM COMBUSTÍVEL, QUILOMETRAGEM LIVRE, COM SEGURO TOTAL, MANUTENÇÃO PREVENTIVA E CORRETIVA"
22000005,PRESTAÇÃO DE SERVIÇOS DE BUFFET
22000006,SERVIÇO DE AGENCIAMENTO DE VIAGENS
22000008,"PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÃO, DESINSTALAÇÃO, MANUTENÇÃO PREVENTIVA E CORRETIVA DE CONDICIONADORES DE AR E EQUIPAMENTOS DE REFRIGERAÇÃO, COM REPOSIÇÃO DE PEÇAS, COMPONENTES E ACESSÓRIOS"
22000018,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇO DE LIMPEZA E CONSERVAÇÃO NAS UNIDADES DA DPE-AP
22000021,"O objeto do presente Termo de Contrato é a contratação de instituição sem fins lucrativos dedicada à recuperação social de pessoas condenadas a penas privativas de liberdade que cumprem pena em regime semiaberto, aberto e egressos do sistema prisional local, por meio de capacitação laboral, como forma de retorno da cidadania, ora suspensa. "
22000035,OUTSOURCING DE IMPRESSÃO
22000042,"Constitui objeto da presente contratação a aquisição do serviço PROID ? Identidade digital do servidor, serviços estes detalhados no Anexo 1 ? Descrição dos Serviços, deste contrato."
