codigo,descricao
0, - 
230045,4º termo aditivo ao Termo De Fomento Nº 003/2023-SESA MAIS VISAO
230091,Repasse de Recursos Financeiros
230129,"INSTITUTO PADRE JOÃO DA CRUZ ? IPAJ, TERMO DE FOMENTO N° 04/2023 SESA. PARECER JURÍDICO Nº 617/2023-PLCC/PGE. O objeto do presente Termo de Fomento, de acordo com Lei no 13.019, 31 de julho de 2014, é o gerenciamento e operacionalização de unidade de saúde, em unidade própria, localizada na cidade de Santana/AP, com capacidade de oferta máxima de 30 leitos ambulatoriais de retaguarda e 10 leitos de UTI, para atendimento a pacientes adultos, excepcionalmente custeada pela SESA/AP, em regime de 24h por dia, em virtude da reforma do Hospital de Emergência- HE e Hospital de Emergência de Santana - HES"
230141,"PRESTAÇÃO DOS SERVIÇOS DE LIMPEZA URBANA E DESTINAÇÃO FINAL DE RESÍDUOS SÓLIDOS URBANOS NO MUNICÍPIO DE AMAPÁ/AP, e"
230148,"Limpeza,Conservação e Manutenção da infraestrutura Urbanística da Zona Rural do Município de Tartarugalzinho."
230152,Aquisição de Combustível
230153,SERVIÇOS DE LIMPEZA URBANA E DESTINAÇÃO- SEDE
230156,SERVICO DE LIMPEZA URBANA E DESTINAÇÃO FINAL DOS RESIDUOS SÓLIDOS DO MUNICIPIO DE VITÓRIA DO JARI-AP
230159,"AQUISIÇÃO DE GASOLINA, OLEO DIESEL S500 E OLEO DIESEL S10 PARA O MUNICIPIO DE SANTANA/AP"
230167,Repasse de Recursos Financeiros para os serviços de Limpeza Urbana
230235,TERMO DE FOMENTO
230439,Limpeza Urbana e Destinação Final Resíduos Sólidos Urbanos 
240001,Limpeza Urbana e Destinação Final Resíduos Sólidos Urbanos no Município de Mazagão
240004,TERMO DE FOMENTO Nº 012/2023 ? SESA
240028,"TERMO DE FOMENTO 001/2024 odontologia, oftalmologia, fisioterapia e exames laboratoriais"
240040,Convênio nº 004/2024
240043,"TERMO DE FOMENTO DO PROJETO ""DE OLHO NA MALÁRIA"
240079,PROJETO REDESIM CONECTADA ? DESENVOLVE MPE 
240087,TERMO DE FOMENTO N.º 011/2024 ?ACOLHENDO VIDAS - 2024/2025? - CASA DA HOSPITALIDADE.
240088,TERMO DE FOMENTO N.º 010/2024 ?ILUMINAR? - CASA DA HOSPITALIDADE.
240091,LIMPEZA COM DESTINAÇÃO FINAL DOS RESÍDUOS SÓLIDOS URBANOS DO MUNICÍPIO DE SERRA DO NAVIO/
240092,AQUISIÇÃO DE COMBUSTÍVEL A DIESEL PARA MANUTENÇÃO DAS VIAS DE ACESSO NAS COMUNIDADES RURAIS
240096,"AQUISIÇÃO DE COMBUSTÍVEIS (GASOLINA COMUM, ÓLEO DIESEL COMUM OU S-10) "
240098,AQUISIÇÃO DE COMBUSTÍVEL
240100,CONTRAPARTIDA DA URBANIZAÇÃO DA ORLA
240133,JOGOS ESCOLARES 2024
240282,"O objeto do presente Termo de Fomento, de acordo com Lei n° 13.019, 31 de julho de 2014, terá como finalidade a prestação de serviços médico-hospitalares, incluindo a gestão de leitos cirúrgicos, leitos de terapia intensiva e do centro cirúrgico no Hospital de Clínicas Dr. Alberto Lima (HCAL) conforme o Plano de Trabalho."
240296,"REPASSE DE RECURSOS FINANCEIROS DESTINADOS A AQUISIÇÃO DE GASOLINA, ÓLEO DIESEL S500 E ÓLEO DIESEL S10 PARA MUNICÍPIO DE PEDRA BRANCA DO AMAPARI/AP."
240297,SERVIÇOS DE LIMPEZA URBANA E DESTINAÇÃO FINAL DOS RESÍDUOS SÓLIDOS DO MUNICÍPIO DE VITÓRIA DO JARI/AP
240311,Limpeza Urbana
250001,CARNAVAL DO POVO DO AMAPÁ
250003,CARNA SANTANA 2025
250004,TERMO DE FOMENTO N° 001/2025 - PROJETO CARNAVAL 2025: AMAZONIZAR ? ALEGORIAS E ADEREÇOS
250005,"TERMO DE FOMENTO N° 002/2025 - PROJETO CARNAVAL 2025: AMAZONIZAR, O OLHAR DO POETA JOÃOZINHO GOMES EM VERDE E ROSA"
250006,TERMO DE FOMENTO N° 003/2025 - PROJETO CARNAVAL TUPÍ
250007,CARNANAL DO AMAPÁ 2025
250008,TERMO DE FOMENTO N° 005/2025 - PROJETO: CARNAVAL 2025 DO PIRATÃO
250009,TERMO DE FOMENTO N° 006/2025 - PROJETO: PRENÚNCIO DO SAMBA 2025
250010,TERMO DE FOMENTO N° 007/2025 - PROJETO: UNIVERSIDADE DO AMANHÃ
250011,CARNAJARÍ 2025
250012,TERMO DE FOMENTO Nº 008/2025 - PROJETO IMPÉRIO DA ZONA NORTE: FORTALECENDO O TURISMO CULTURAL NO CARNAVAL 2025
250013,Serviço de Limpeza e Conservação
250014,TERMO DE FOMENTO N° 009/2025 - PROJETO: DESNORTEADOS
250015,PROJETO CARNAVAL 2025: OS GUARDIÕES DO PAVILHÃO VERDE E ROSA
250016,"PROJETO ""CARNAVAL MULTICULTURAL DO MUNICÍPIO DE PORTO GRANDE"
250017,PROJETO CULTURAL CARNAVAL DE TARTARUGALZINHO 2025
250018,CARNAVITORIA 2025
250019,FEST FOLIA MAZAGÃO 2025
250020,PROJETO CARNAVAL TRADIÇÃO CULTURAL
250021,RETIRAO DE ADORADORES
250022,CONTRATO DE PATROCÍNIO N° 001/025 - PROJETO: CARNAVAL AMAZÔNICO 
250023,TERMO DE FOMENTO N° 010/2025 - PROJETO: CARNAMACAPÁ
250025,Serviço de Limpeza e Conservação
250026,CAMPEONATOS: SERIE PRATA E SERIE OURODE FUTSAL 2025 E A PARTICIPAÇÃO NA TAÇA BRASIL DE CLUBES/2025.
250027,CAMPEONATOS: SUB -17 E SUB- 20 MACULINO DE FUTSAL/2025
