codigo,descricao
0, - 
120004,"TRANSFERENCIA D RECURSOS FINANCEIROS DA UNIAO PARA A EXECUÇÃO DE ESTUDOS E PROJETOS DE ENGENHARIA PARA MANEJO DE AGUAS PLUVIAIS E ESGOTAMENTO SANITÁRIO. NOS MUNICIPIOS DE MACAPÁ E SANTANA, NO ÂMBITO DO PROGRAMA ELABORAÇÃO DE PROJETOS DE ENGENHARIA. AÇÃO SANEAMETO BÁSICO. "
130003,"TRANSFERÊNCIA DE RECURSOS FINANCEIROS DA UNIÃO PARA A EXECUÇÃO DA AMPLIAÇÃO DO SISTEMA DE ABASTECIMENTO DE AGUA DE MACAPÁ, NO MUNICIPIO DE MACAPÁ/AP, NO AMBITO DO PROGRAMA SANEAMENTO BÁSICO, AÇÃO ABASTECIMENTO DE ÁGUA."
190002,CONSTRUÇÃO DE UNIDADE DE ATENÇÃO ESPECIALIZADA EM SAÚDE
190003,CONV 886485/2019 - VIDEOCONFERÊNCIA
200077,MONITORAÇÃO ELETRÔNICA CONV 902298/202
200078,APOIO AO INEP
200084,"CONSTRUÇÃO DE PRÉDIO PÚBLICO, NO MUNICÍPIO DE VITÓRIA DO JARÍ"
200089,CONSTRUÇÃO DO HOSPITAL HE - CONTRATO DE REPASSE
200092,Reaparelhamento do Ministério Público do Estado do Amapá 
200093, Aquisição de 2 (dois) Veículos Utilitários Tipo Pickup
210002,"O presente projeto tem por escopo a ""PROMOÇÃO DO ACESSO À JUSTIÇA ."
210009,CONV 905144/2020 - IAPEN PATRONATO EDUCA
210010,"Termo de Cooperação Técnico-administrativo, com delegação de competências do INMETRO"
210017,aquisição de equipamentos de academia de musculação.
210019,Aquisição de equipamentos de mergulho
210021,Centenha Subvenção Finep II
210035,Construção do Bloco Administrativo da Academia de Bombeiros Militar
210036,"Aquisição de Viatura operacional, equipamentos de informática e aeronaves não tripuláveis."
210037,ESTRUTURAR A POLÍCIA MILITAR DO AMAPÁ
210053,Reaparelhar as unidades policiais integrantes da estrutura orgânica da Delegacia Geral de Polícia Civil do Estado do Amapá
210058,"REFORMA E CONSTRUÇÃO NO COMPLEXO MARCO ZERO, EM MACAPÁ-AP"
210073,Programa Centelha contrapartida
210116,Pavimentação Asfáltica em Vias Urbanas com Drenagem e Calçadas no Município de Oiapoque-AP.
210120,Reaparelhamento da infraestrutura de Tecnologia da Informação e Comunicação (TIC)
220001,Aquisição de Equipamentos de Tecnologia da Informação e Comunicação para a modernização do parque tecnológico do Tribunal de Justiça.
220002,"Construção da Nova Sede do Tribunal de Justiça do Estado do Amapá para garantir à ampliação e continuidade da prestação dos serviços a população, de forma célere, segura, acessível e adequado as novas exigências construtivas."
220003,Reaparelhamento das Delegacias Especializadas em Crimes contra a Mulher de Macapá e Santana - AP.
220020,"CONSTRUÇÃO DO CENTRO DE APOIO AO TURISMO, MUNICIPIO DE FERREIRA GOMES -AP"
220040,PROGRAMA AUXILIO BRASIL
220052,"CONSTRUIR E EQUIPAR A CASA DA MULHER BRASILEIRA, NO ESTADO DO AMAPÁ "
220075,PROMOVER AÇÕES DE ASSISTÊNCIA JURÍDICA ÁS PESSOAS PRIVADAS DE LIBERDADE QUE SÃO ATENDIDAS PELA DEFENSORIA PÚBLICA DO ESTADO DO AMAPÁ.
220082,Construção de bloco de salas de aula da Academia de Bombeiros Militar no Município de Macapá/AP..
220093,AQUISIÇÃO DE EQUIPAMENTO E MATERIAL PERMANENTE PARA UNIDADE DE HEMATOLOGIA E HEMOTERAPIA
220106, PAVIMENTAÇÃO DO RAMAL DE INTERLIGAÇÃO ENTRE A ROD. FEDERAL BR 210/156 A ROD. ESTADUAL AP-070 DO MUNICIPIO DE MACAPÁ AP 
220107,Pavimentação Asfáltica em Via Urbana com Drenagem e Calçadas no Município de Macapá-AP. (Av. Anastacio Gaudencio Bairro : Goiabal)
220146,PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR - PNAE
220151,Revitalização do Campos de Pesquisas do Instituto de Pesquisas Científicas e Tecnológicas do Estado do Amapá.
230013,"Aquisição de veículos, equipamentos de informática, equipamento para perícia e equipamento de guarda"
230018,CONVÊNIO FEDERAL Nº 942218/2023 - Aquisição com instalação de equipamentos visando à implantação de energia fotovoltaica nos prédios localizados em Macapá.
230037,"Pavimentação Asfáltica em Via Urbana com Drenagem, Calçadas e Iluminação Pública no Município de Macapá-AP."
230040,Pavimentação da Rodovia AP - 160
230072,Apoio à reestruturação do sistema unificado de atenção à sanidade agropecuária (SUASA) e fortalecimento das ações de defesa agropecuária.
230110,ESTRUTURAÇÃO FÍSICA EQUIPAMENTOS TECNOLOGIAS DIGITAIS -TDIC
230112,CENSO ESCOLAR 2023 E 2024
230140,Apoio ao INEP
230146,CONV 936646/2022 - Aparelhamento e Capacitação de Servidores da CIP/IAPEN
230147,Construção de Prédio Público para atender o município de Ferreira Gomes - AP
230453,AÇÃO DE ATER/PROJETO FORTALECENDO MULHERES RURAIS
230457,Execução de ações e atividades para a prevenção e controle de vírus no território do Amapá.
230460,AQUISIÇÃO DE VEÍCULOS
230463,Aceleração de Startups no estado do Amapá
230466,TECNOVA III TRANSVERSAL FAPEAP
230467,TECNOVA III SUBVENÇÃO FAPEAP
230472,Aparelhamento da 4ª etapa do edifício sede do MP-AP 
230473,"Promover a democratização do acesso à justiça e à cidadania, à população amapaensemediante a modernização tecnológica das unidades ministeriais e promotorias de justiça"
230474,CONV 954033/2023 - PROCAP Mulheres
230475,PTS RESIDENCIAL MIRACEMA MOD II
230476,PTS RESIDENCIAL MIRACEMA MOD III
230477,PTS RESIDENCIAL MIRACEMA MOD IV
230478,TECNOVA III TRANSVERSAL FINEP
