codigo,descricao
01,Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares
03,Pensões do RPPS e do militar
04,Contratação por Tempo Determinado
08,Outros Benefícios Assistenciais do servidor e do militar
11,Vencimentos e Vantagens Fixas - Pessoal Civil
12,Vencimentos e Vantagens Fixas - Pessoal Militar
13,Obrigações Patronais
14,Diárias - Civil
15,Diárias - Militar
16,Outras Despesas Variáveis - Pessoal Civil
17,Outras Despesas Variáveis - Pessoal Militar
18,Auxílio Financeiro a Estudantes
19,Auxílio-Fardamento
20,Auxílio Financeiro a Pesquisadores
21,Juros sobre a Dívida por Contrato
30,Material de Consumo
31,Premiações Culturais, Artísticas, Científicas, Desportivas e Outras
32,Material, Bem ou Serviço para Distribuição Gratuita
33,Passagens e Despesas com Locomoção
35,Serviços de Consultoria
36,Outros Serviços de Terceiros - Pessoa Física
37,Locação de Mão-de-Obra
38,Arrendamento Mercantil
39,Outros Serviços de Terceiros - Pessoa Jurídica
40,Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica
41,Contribuições
42,Auxílios
43,Subvenções Sociais
45,Subvenções Econômicas
46,Auxílio-Alimentação
47,Obrigações Tributárias e Contributivas
48,Outros Auxílios Financeiros a Pessoas Físicas
49,Auxílio-Transporte
51,Obras e Instalações
52,Equipamentos e Material Permanente
59,Pensões Especiais
61,Aquisição de Imóveis
65,Constituição ou Aumento de Capital de Empresas
70,Rateio pela Participação em Consórcio Público
71,Principal da Dívida Contratual Resgatado
81,Distribuição Constitucional ou Legal de Receitas
85,Contrato de Gestão
91,Sentenças Judiciais
92,Despesas de Exercícios Anteriores
93,Indenizações e Restituições
94,Indenizações e Restituições Trabalhistas
96,Ressarcimento de Despesas de Pessoal Requisitado
99,Reserva de Contingência
