codigo,descricao
E0000,Não definida
IE0266,Custeio de Ações de Educação e Saúde.
IE0283,Emenda 38970001/2021 destinada ao Tribunal de Justiça do Estado do Amapá - TJAP para aquisição de Equipamentos.
IE0286,"Construção do Terminal Hidroviário de Embarque de Passaageiros Localizado PIER SANTA INÊS, Município de Macapá-AP "
IE0287,"Elaboração de Projetos para a Duplicação da Ponte sobre o Igarapé da Fortaleza, Na Rodovia Josmar Charles Pinto "
IE0288,"Elaboração de Projetos para Construção da Casa Bicho do Norte, Casa do Acolhimento Infantil, Fórum de Calçoene e Ferreira Gomes e Terminal Hidroviário do Igarapé da Fortaleza "
IE0289,"Conclusão de 118 Unidades Habitacionais no Bairro Congós, no Município de Macapá "
IE0290,Reforma no Prédio da Administração Pública Estadual Fazendária 
IE0291,"Elaboração dos Projetos para a Rodovia do Goiabal, que ligará a Zona Oeste e Sul de Macapá, estimada em 9km de extensão "
IE0292,"Reformas nos Prédios da Administração Pública Estadual Palácio do Setentrião, Escola Estadual Nelita Rocha Brito, escola Dr.Coaracy Nunes, escola Maria do Socorro Smith, escola Jarilândia, e Prédio da Administração Estadual de Transportes "
IE0293,"Topografia, sondagem e análises de laboratórios para o Projeto de Requalificação de Vias 30km e projeto Ramal do Abacate da Pedreira e projeto Pavimentação de Pedra Branca; Ensaios de Laboratório e Sondagem da Orla Aturiá; Sondagem e análises de laboratório para o Ramal do Piquiá; "
IE0294,"Elaboração de Projetos para Construção do Parque da Zona Norte, Construção de um Porto e Terminal Hidroviário e Urbanização da Expansão Urbana Aldeia Tucuju "
IE0296,Implantação do projeto do Vila Porto Santana 
IE0298,Elaboração dos Planos para a Construção do Fórum de Calçoene 
IE0299,"Reformas nos Prédios da Administração Pública Estadual Palácio do Setentrião, Escola Estadual Nelita Rocha Brito, escola Dr.Coaracy Nunes, escola Maria do Socorro Smith, escola Jarilândia, e Prédio da Administração Estadual de Transportes "
IE0305,DESPESAS COM O DESENVOLVIMENTO DO PROJETO DE APRENDIZAGEM DE MATEMÁTICA (EDUTEN)
IE0308,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA NA PRODUÇÃO DE MÓVEIS PLANEJADOS PARA ATENDER AS NECESSIDADES DO PRÉDIO ADMINISTRATIVO E DO CAMPUS DE PESQUISA
IE0309,AQUISIÇÃO DE VEÍCULOS PARA O IEPA
IE0310,Aquisição de equipamentos e material permanente para estruturação do SIAC (SALDO REMANESCENTE)
IE0356,REFORMA DO ESTÁDIO MILTON DE SOUZA CORRÊA-ZERÃO
IE0359,"AMPLIAÇÃO DA MATERNIDADE MÃE LUZIA, LOCALIZADA NA AVENIDA FAB, N° 81- BAIRRO CENTRAL, MACAPÁ-AP. SEINF"
IE0363,"PROMOÇÃO DO FORTALECIMENTO DA AGRICULTURA FAMILIAR NO ESTADO DO AMAPÁ POR MEIO DA DISTRIBUIÇÃO DE INSUMOS, SEMENTES, MUDAS E DA OFERTA DE SERVIÇOS DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL (ATER)."
IE0366,REFORMA DO CENTRO DE DIFUSÃO CULTURAL JOÃO BATISTA DE AZEVEDO PICANÇO
IE0379,REALIZAÇÃO DE FESTIVIDADES NOS MUNICÍPIOS
IE0380,REALIZAÇÃO DO EVENTO JORNADA GOSPEL 2025
IE0381,"APOIO AOS EVENTOS CULTURAIS REALIZADOS NO ESTADO DO AMAPÁ, EXECUTADA POR MEIO DO EDITAL Nº 002/2024 ? FEC/SECULT/AP ? CIRCUITO DAS ARTES AMAPÁ, COM O OBJETIVO DOS ARTISTAS E PROFISSIONAIS DE ARTE, CULTURA EM TODAS AS SUAS MANIFESTAÇÕES E LINGUAGENS LOCAIS, PARTICIPAREM E APRESENTAREM SEUS TRABALHOS NOS MAIS DIVERSOS EVENTOS E PROJETOS REALIZADOS COM A ASSISTÊNCIA DO FUNDO ESTADUAL DE CULTURA-FEC/SECULT. AMAPÁ FEST ROCK"
I0005,"Recurso destinado a realização do Projeto Cultural Carnaval 2025 do PIRATAS ESTILIZADOS. Termo de Fomento com o Gremio Recreativo Escola de Samba Piratas Estilizados , CNPJ Nº 23.088.685/0001-75."
I0006,"Recurso destinado ao custeio da 1ª edição do projeto ""TRABALHO E AÇÃO"", realizado pela Associação Oficina Escola de Lutheria da Amazônia - OELA, CNPJ 03.470.157/0001-79."
I0007,"Recurso destinado ao custeio da 4ª edição do projeto ""AMAZONIAÇÃO"", realizado pela Associação Oficina Escola de Lutheria da Amazônia - OELA, CNPJ 03.470.157/0001-79."
I0008,"Recurso destinado a realização do Projeto ""Movimento e Vida"", executado pelo Instituto Alvorecer, CNPJ nº 31.710.789/0001-06."
I0013,TRANFERENCIA PARA O FUNDO MUNICIPAL DE SAÚDE DE SANTANA/AP PARA AQUISIÇÃO DE EQUIPAMENTOS
I0017,"Recurso destinado para o Fomento do Campeonato Amapaense de Motocross do ano 2025, a ser realizado pela Associação de Motocross do Amapá, CNPJ 21.736.759/0001-07"
I0018,RECURSOS DESTINADO AO PROJETO DE MODERNIZAÇÃO DO JUDICIARIO ATRAVÉS DO USO DE INTELIGÊNCIA ARTIFICIAL - TJAP.
I0019,"RECURSO DESTINADO A ASSOCIAÇÃO DE PRODUÇÃO CULTURAL, ARTÍSTICA, MUSICAL, EDUCACIONAL, DESPORTIVA, RECREATIVA E DE PROMOÇÃO E PROTEÇÃO SOCIAL DO AMAPÁ-MUSART-CNPJ 31.008.335.0001/80."
I0025,Investimento em Iteligencia Artificial para que o Poder Judiciário estadual possa melhor atender a população amapaense.
I0027,"RECURSO DESTINADO PARA TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ, PARA PROJETO DE MODERNIZAÇÃO DO JUDICIÁRIO ATRAVÉS DA INTELIGÊNCIA ARTIFICIAL."
I0028,RECURSO PARA CUSTEIO DA SECRETARIA DE ESTADO DO DESPORTO E LAZER-SEDEL.
I0031,EMENDA IMPOSITIVA PARA APOIO AO PROJETO DE MORDERNIZAÇÃO DO JUDICIÁRIO ATRAVÉS DO USO DE INTELIGÊNCIA ARTIFICIAL - TJAP
I0033,"RECURSOS DESTINADOS PARA TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ, PARA MANTER AS ATIVIDADES DA TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO."
I0034,RECURSOS DESTINADOS AO FUNDO MUNICIPAL DE SAÚDE DA PREFEITURA DE PORTO GRANDE.
I0035,"RECURSOS DESTINADOS PARA REALIZAÇÃO DA CORRIDA DE COMBATE AO FEMINICÍDIO QUE SERÁ REALIZADO PELO INSTITUTO SOCIAL DE DESENVOLVIMENTO DO AMAPÁ - ISDAP, CNPJ: 28.915.012/0001-65"
I0036,RECURSOS DESTINADOS PARA FEDERAÇÃO AMAPAENSE DE FUTEBOL DE SALÃO ? FAFS CNPJ: 14.540.983/001-63.
I0037,RECURSOS DESTINADOS PARA CUSTEIO ÀS MANIFESTAÇÕES CULTURAIS DA FECARUMINA - CNPJ 09.600.310/0001-11
I0038,RECURSOS DESTINADOS PARA CUSTEIO ÀS MANIFESTAÇÕES CULTURAIS DO GREMIO RECREATIVO ESCOLA DE SAMBA MARACATU DA FAVELA - CNPJ: 05.998.042/0001-87
I0039,RECURSOS DESTINADOS A FAZENDA ESPERANÇA PARA CUSTEIO DAS AÇÕES DE ASSISTENCIALISMO SOCIAL.
I0041,RECURSOS DESTINADOS PARA REFORMA DE ESCOLA ESTADUAL MODELO GUANABARA
I0042,"Recurso destinado a realização do Projeto POP RUA JUD, realizado pelo Tribunal de Justiça do Amapá."
I0043,"Destinação de recurso para o carnaval/2025, para trabalhar o Projeto da Instituição da Escola de Samba Mocidade Independente Império da Zona Norte, sob o CNPJ nº 14.096.674/0001-46. "
I0044,Recurso destinado para o Tribunal de Justiça do Amapá para a realização do Projeto IINTELIGÊNCIA ARTIFICIAL.
I0045,Transferência ao Fundo Municipal de Saúde de Mazagão para aquisição de medicamentos destinados à atenção básica municipal.
I0046,Emenda destinada a melhoria da prestação de serviços públicos ao Jurisdicionado Amapaense - PROJETO DE MODERNIZAÇÃO DO JUDICIÁRIO ATRAVÉS DO USO DE INTELIGÊNCIA ARTIFICIAL ? TJAP
I0047,Emenda destinada a realização do campeonato amapaense de jiu-jitsu através da FEDERACAO AMAPAENSE DE JIU-JITSU (FAJJ) - CNPJ N. 03.950.488/0001-06
I0049,Transferência ao Fundo Municipal de Assistência Social do Município de Amapá para aquisição de cestas básicas e Kits bebê. 
I0050,Recurso destinado À Agência de Defesa e Inspeção Agropecuária do Estado do Amapá - DIAGRO
I0052,"Transferência de recurso para o Fundo Municipal de Saúde do Município de Itaubal do Piririm, para apoiar as ações de saúde do município."
I0053,"Transferência de recurso para o Fundo Municipal de Saúde do Município de Cutias do Araguari, para apoiar as ações de saúde do município."
I0054,"Recurso destinado à Associação Educadora São Francisco de Assis - CAPUCHINHOS, CNPJ N.º06.303.192/0015-97, para Reforma e Adaptação dos Consultórios Médicos Especializados do Centro de Promoção Frei Daniel Samarati."
I0055,"Recurso destinado ao Tribunal de Justiça do Estado do Amapá para realização do Projeto: ""Inteligência Artificial""."
I0056,RECURSO PARA AQUISIÇÃO DE MÓVEIS PARA SALA DE OFTALMOLOGIA DO CENTRO DE PROMOÇÃO HUMANA FREI DANIEL DE SAMARATE
I0058,VIABILIZAÇÃO DE RECURSOS PARA CUSTEIO DO FUNDO MUNICIPAL DE ASSISTENCIA SOCIAL DO MUNICIPIO DE AMAPÁ/AP CNPJ: 19.724.498/0001-63.
I0061,RECURSO DESTINADO PARA CUSTEIO ÀS MANIFESTAÇÕES CULTURAIS GREMIO RECREATIVO ESCOLA DE SAMBA PIRATAS ESTILIZADOS CNPJ Nº: 23.088.685/0001-75. 
I0062,EMENDA PARA A ORGANIZAÇÃO DO CARNAVAL 2025 DA ESCOLA DE SAMBA ASSOCIAÇÃO RECREATIVA PIRATAS DA BATUCADA CNPJ 04.188.637/0001-04.
I0067,"Emenda Parlamentar destinada ao Projeto ""Cantando Marabaixo nas Escolas"" através do INSTITUTO ARTÍSTICO CULTURAL LÍNGUA SOLTA ? IACLS (CNPJ 06.945.399/0001-60."
I0068,Emenda para contratação de OSCIP - SIMPLES IDEIAS OFICINAS DE PROJETOS (CNPJ 09.244.738/0001-79) para Promoção social da cultura através de projetos culturais no Município de Amapá.
I0072,EMENDA PARA A REALIZAÇÃO DO CARNAVAL 2025 DO GRÊMIO RECREATIVO ESCOLA DE SAMBA PIRATAS ESTILIZADOS CNPJ Nº 23.088.685/0001-75.
I0076,EMENDA DESTINADA AO PROJETO INTELIGÊNCIA ARTIFICIAL DO TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ.
I0077,"EMENDA PARA O CENTRO DE SAÚDE DO CORPO DE BOMBEIRO DO ESTADO DO AMAPÁ, COM OBJETIVO AOS CUSTEIO DE DESPESAS DO ORGÃO DE SAÚDE."
I0080,"Aquisição de Mobiliário para Gabinete Odontológico do HEMOAP, para atendimento de pacientes Hemofílicos e Falciformes "
I0081,Construção de Passarelas no município de Macapá
I0082,Modernização do Judiciário - Tribunal de Justiça do Amapá
I0083,Apoio a Federação Amapaense de Futebol de Salão - FAFS
I0086,"RECURSO DOS 25% DO PPA, DESTINADO A SECRETARIA DE TURISMO DO ESTADO DO AMAPÁ, QUE DEVERÁ SER REPASSADO INTEGRALMENTE PARA O GREMIO RECREATIVO ESCOLA DE SAMBA PIRATAS ESTILIZDOS CNPJ: 23.088.685/0001-75."
I0087,RECURSO DESTINADO AO FUNDO MUNICIPAL DE ASSISTENCIA DO MUNICIPIO DE CALÇOENE/AP.
I0088,RECURSO PARA AQUISIÇÃO DE CÃES DE FARO PARA O BATALHÃO DE OPERAÇÕES ESPECIAIS-BOPE
I0090,"RECURSO PARA O PROJETO ""INTELIGÊNCIA ARTIFICIAL"" DO TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ-TJAP."
I0092,TRANSFERÊNCIA DE RECURSO PARA FOMENTAR A ASSISTÊNCIA SOCIAL NO MUNICÍPIO DE ITAUBAL.
I0093,"RECURSO DESTINADO A SECRETARIA ESTADUAL DE SAÚDE-SESA, QUE DEVERÁ SER REPASSADO INTEGRALMENTE PARA O CENTRO DE PROMOÇÃO HUMANA FREI DANIEL DE SAMARATE ASSOCIAÇÃO EDUCADORA SAO FRANCISCO DE ASSIS INSCRITA NO CNPJ 06.303.192/0015-97 (CAPUCHINHOS) PARA AQUISIÇÃO DE MOBILIARIO PARA O NOVO BLOCO DE ATENDIMENTO DE ULTRASONOGRAFIA."
I0094,"DESTINAÇÃO DE RECURSO PARA O CARNAVAL, TRANSFERÊNCIA DE RECURSO PARA A ESCOLA DE SAMBA MOCIDADE INDEPENDENTE IMPERIO DA ZONA NORTE, CNPJ: 14.096.674/0001-46."
I0095,"DESTINAÇÃO DE RECURSO PARA O CARNAVAL, TRANSFERÊNCIA DE RECURSO PARA ASSOCIAÇÃO RECREATIVA PIRATAS DA BATUCADA, CNPJ: 04.188.637/0001-04."
I0096,TRANSFERÊNCIA DE RECURSO PARA O FUNDO ROTATIVO DA UNIDADE MISTA DE SAÚDE DO MUNICÍPIO DE SERRA DO NAVIO. 
I0097,"APOIO AO PROJETO ""AMAPÁ STARTUPS"", A SER EXECUTADO PELO SERVIÇO DE APOIO ÀS MICROS E PEQUENAS EMPRESAS DO AMAPÁ ? SEBRAE/AP, com CNPJ nº 04.662.409/001-24."
