codigo,descricao
317170,Rateio pela Participação em Consórcio Público 
319001,"Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares "
319003,Pensões do RPPS e do militar 
319004,Contratação por Tempo Determinado 
319011,Vencimentos e Vantagens Fixas - Pessoal Civil
319012,Vencimentos e Vantagens Fixas - Pessoal Militar
319013,Obrigações Patronais
319016,Outras Despesas Variáveis - Pessoal Civil
319017,Outras Despesas Variáveis - Pessoal Militar
319091,Sentenças Judiciais 
319092,Despesas de Exercícios Anteriores 
319094,Indenizações e Restituições Trabalhistas 
319096,Ressarcimento de Despesas de Pessoal Requisitado 
319113,Obrigações Patronais
319192,Despesas de Exercícios Anteriores 
329021,Juros sobre a Dívida por Contrato 
332041,Contribuições 
333041,Contribuições 
334041,Contribuições 
334081,Distribuição Constitucional ou Legal de Receitas 
334141,Contribuições 
335041,Contribuições 
335043,Subvenções Sociais
335085,Contrato de Gestão 
337170,Rateio pela Participação em Consórcio Público 
339008,Outros Benefícios Assistenciais do servidor e do militar 
339014,Diárias - Civil
339015,Diárias - Militar
339018,Auxílio Financeiro a Estudantes 
339019,Auxílio-Fardamento
339020,Auxílio Financeiro a Pesquisadores
339030,Material de Consumo 
339031,"Premiações Culturais, Artísticas, Científicas, Desportivas e Outras "
339032,"Material, Bem ou Serviço para Distribuição Gratuita "
339033,Passagens e Despesas com Locomoção 
339035,Serviços de Consultoria 
339036,Outros Serviços de Terceiros - Pessoa Física 
339037,Locação de Mão-de-Obra 
339039,Outros Serviços de Terceiros - Pessoa Jurídica 
339040,Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica 
339046,Auxílio-Alimentação
339047,Obrigações Tributárias e Contributivas 
339048,Outros Auxílios Financeiros a Pessoas Físicas 
339049,Auxílio-Transporte 
339059,Pensões Especiais 
339091,Sentenças Judiciais 
339092,Despesas de Exercícios Anteriores 
339093,Indenizações e Restituições 
444042,Auxílios
444142,Auxílios
445041,Contribuições 
445042,Auxílios
447170,Rateio pela Participação em Consórcio Público 
449014,Diárias - Civil
449030,Material de Consumo 
449033,Passagens e Despesas com Locomoção 
449035,Serviços de Consultoria 
449039,Outros Serviços de Terceiros - Pessoa Jurídica 
449040,Serviços de Tecnologia da Informação e Comunicação - Pessoa Jurídica 
449051,Obras e Instalações 
449052,Equipamentos e Material Permanente 
449061,Aquisição de Imóveis 
449092,Despesas de Exercícios Anteriores 
449093,Indenizações e Restituições 
459065,Constituição ou Aumento de Capital de Empresas 
469071,Principal da Dívida Contratual Resgatado 
999999,RESERVA DE CONTINGENCIA
