codigo,descricao
0001,GOVERNANÇA AMBIENTAL SUSTENTÁVEL
0002,GERENCIAMENTO ADMINISTRATIVO DO EIXO CIDADANIA E DIREITOS HUMANOS
0006,GERENCIAMENTO ADMINISTRATIVO DO EIXO AMAPÁ DA GOVERNANÇA E GESTÃO INOVADORA
0007,DESENVOLVIMENTO DA PESCA E AQUICULTURA 
0008,GESTÃO ESTRATÉGICA DE GOVERNO
0009,CONTROLE EXTERNO DA ADMINISTRAÇÃO PÚBLICA
0010,DESENVOLVIMENTO DO SETOR MINERAL DO AMAPÁ
0012,GOVERNANÇA FUNDIÁRIA DO ESTADO DO AMAPÁ
0013,PLANEJAMENTO E GESTÃO DO SISTEMA ÚNICO DE SAÚDE
0014,AMAPÁ RURAL SUSTENTÁVEL
0015,GARANTIA DOS DIREITOS DO CONSUMIDOR
0016,FOMENTO AO ESPORTE
0017,DESENVOLVIMENTO INTEGRADO DO TURISMO NO AMAPA
0019,GESTÃO DE DESENVOLVIMENTO DE PESSOAS
0020,EDUCA AMAPÁ
0021,"EXTENSÃO, ASSISTÊNCIA TÉCNICA E DESENVOLVIMENTO RURAL FAMILIAR"
0022,QUALIDADE COM INCLUSÃO NA REABILITAÇÃO
0023,CONTROLE INTERNO GOVERNAMENTAL
0024,DEFENSORIA PRESENTE MUDA A VIDA DA GENTE
0025,GESTÃO DO FUNDO ESPECIAL DA DEFENSORIA PÚBLICA DO ESTADO DO AMAPÁ ? FEDPAP
0026,"GESTÃO DA POLÍTICA DE CIÊNCIA, TECNOLOGIA E INOVAÇÃO"
0028,INCLUSÃO EMPREENDEDORA
0029,REPRESENTAÇÃO JUDICIAL E EXTRAJUDICIAL DO ESTADO DO AMAPÁ
0030,DESENVOLVIMENTO ECONÔMICO ESTADUAL
0031,COOPERAÇÃO DAS INSTITUIÇÕES FEDERAIS PARA O DESENVOLVIMENTO DO ENSINO
0032,REGULAÇÃO DOS SERVIÇOS PÚBLICOS DELEGADOS NO ESTADO DO AMAPÁ
0033,AP DIGITAL
0036,DESENVOLVIMENTO DA INFRAESTRUTURA SOCIAL
0037,EMPREGA AMAPÁ
0038,AMAPÁ RENOVÁVEL
0041,PREVENÇÃO E ATENDIMENTO A SINISTROS
0044,GESTÃO DE LOGÍSTICA
0046,SEGURANÇA PÚBLICA AMAPAENSE INTEGRADA
0051,PROTAGONISMO NA ASSISTÊNCIA ESTUDANTIL
0052,DESENVOLVIMENTO DAS CIDADES
0054,ATENDIMENTO AO CIDADÃO
0057,PROTEÇÃO A CRIANÇA E AO ADOLESCENTE
0059,"VALORIZAÇÃO DA CULTURA POPULAR, CRIATIVA E DO PATRIMÕNIO HISTÓRICO-CULTURAL DO ESTADO DO AMAPÁ."
0061,CUSTÓDIA DE PESSOAS PRIVADAS DE LIBERDADE
0062,DESENVOLVIMENTO DA INFRAESTRUTURA LOGÍSTICA COM MOBILIDADE URBANA
0063,MORAR MELHOR
0064,TRÂNSITO SEGURO E CIDADÃO
0065,BEM ESTAR ANIMAL
0071,ACOLHER AMAPÁ
0073,GESTÃO DA AGENDA OFICIAL GABGOV
0074,GESTÃO DA POLÍTICA PÚBLICA DO GOVERNO DO ESTADO DO AMAPÁ
0075,JUVENTUDE EMPREENDEDORA
0076,TRANSPOSIÇÃO DE SERVIDORES DO EX-TERRITÓRIO PARA A UNIÃO
0077,GESTÃO DO SISTEMA ÚNICO DE ASSISTÊNCIA SOCIAL - SUAS
0078,GESTÃO DA SEGURIDADE SOCIAL
0079,GESTÃO DA POLÍTICA PREVIDENCIÁRIA 
0081,PRESTAÇÃO JURISDICIONAL
0082,MODERNIZAÇÃO EM TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO
0083,ESTRUTURA FÍSICA DO TRIBUNAL DE JUSTIÇA DO AMAPÁ 
0084,PROMOÇÃO DO ACESSO À JUSTIÇA
0085,PROTEÇÃO SOCIAL BÁSICA
0086,FORTALECIMENTO DO REGISTRADOR CIVIL
0087,SEGURANÇA NA ATUAÇÃO JURISDICIONAL
0088,GESTÃO DA METROLOGIA LEGAL E QUALIDADE 
0090,HEMATOLOGIA E HEMOTERAPIA NO ESTADO DO AMAPÁ
0091,AMAPÁ SEM FOME
0092,VALORIZAÇÃO DA JUVENTUDE AMAPAENSE 
0093,AMAPÁ INDÍGENA
0094,GOVERNO COMUNICA
0095,VIGILÂNCIA EM SAÚDE
0099,DESENVOLVIMENTO E INOVAÇÃO NA GESTÃO PÚBLICA 
0100,CONSÓRCIO INTERESTADUAL DE DESENVOLVIMENTO DA AMAZÔNIA LEGAL
0101,AMAPÁ PARA ELAS 
0102,GESTÃO DA ASSISTÊNCIA HOSPITALAR
0105,ATENÇÃO AMBULATORIAL ESPECIALIZADA
0106,AMAPÁ INTERNACIONAL
0107,"DEFESA DA ORDEM JURÍDICA, DEMOCRÁTICA E SOCIAL"
0108,GOVERNANÇA E GESTÃO ESTRATÉGICA
0109,AMAPÁ AFRO
0110,MANUTENÇÃO DOS SERVIÇOS ADMINISTRATIVOS DA ALAP
0113,EXECUÇÃO DO PROCESSO LEGISLATIVO 
0114,"DEFESA DA ORDEM JURÍDICA, DEMOCRÁTICA E SOCIAL"
0115,MODERNIZAÇÃO DA GESTÃO
0116,FORTALECIMENTO DA PARTICIPAÇÃO POPULAR E DAS ORGANIZAÇÕES DA SOCIEDADE CIVIL
0117,FORTALECIMENTO DA GESTÃO FAZENDÁRIA DO AMAPÁ
0118,ENCARGOS GERAIS DO ESTADO DO AMAPÁ
9999,RESERVA DE CONTINGÊNCIA
